Name,Number of nodes,Number of edges,Number of deliver edges,Cost,Time (ms),Time (s)
small_17.txt,8,10,10,17685.5,7,0
small_18.txt,8,10,10,137343.0,7,0
small_2.txt,7,8,8,10969.9,6,0
small_3.txt,7,8,8,883.931,4,0
small_4.txt,7,8,8,21096.6,5,0
small_5.txt,7,8,8,11390.6,4,0
small_6.txt,7,8,8,146806.0,4,0
small_7.txt,7,9,9,1789.02,9,0
small_8.txt,7,9,9,9167.69,6,0
small_9.txt,7,9,9,2427.14,6,0
