Name,Number of nodes,Number of edges,Number of deliver edges,Cost,Time (ms),Time (s)
large_1.txt,10,16,16,5224.29,420,0
large_10.txt,10,20,20,85784.0,524,0
large_11.txt,10,20,20,64834.0,521,0
large_12.txt,10,20,20,677613.0,515,0
large_13.txt,10,27,27,10501.5,731,0
large_14.txt,10,27,27,101887.0,742,0
large_15.txt,10,27,27,30171.7,752,0
large_16.txt,10,27,27,249656.0,752,0
large_17.txt,10,27,27,153085.0,743,0
large_18.txt,10,27,27,1372510.0,760,0
large_19.txt,20,53,53,42900.3,2095,2
large_2.txt,10,16,16,29092.1,429,0
large_20.txt,20,53,53,289880.0,2072,2
large_21.txt,20,53,53,111110.0,2094,2
large_22.txt,20,53,53,971983.0,2082,2
large_23.txt,20,53,53,651031.0,2054,2
large_24.txt,20,53,53,5553170.0,2095,2
large_25.txt,20,75,75,91049.2,3931,3
large_26.txt,20,75,75,422323.0,4254,4
large_27.txt,20,75,75,174669.0,4292,4
large_28.txt,20,75,75,1696230.0,4451,4
large_29.txt,20,75,75,973495.0,4620,4
large_3.txt,10,16,16,6691.71,530,0
large_30.txt,20,75,75,10906200.0,4545,4
large_31.txt,30,110,110,212196.0,9284,9
large_32.txt,30,110,110,1327270.0,8845,8
large_33.txt,30,110,110,382563.0,9043,9
large_34.txt,30,110,110,3709520.0,10302,10
large_35.txt,30,110,110,2077490.0,12091,12
large_36.txt,30,110,110,21061500.0,12134,12
large_37.txt,30,162,162,522429.0,26661,26
large_38.txt,30,162,162,2790770.0,22613,22
large_39.txt,30,162,162,836338.0,18354,18
large_4.txt,10,16,16,52004.2,422,0
large_40.txt,30,162,162,6322620.0,17982,17
large_41.txt,30,162,162,6547940.0,18029,18
large_42.txt,30,162,162,48325400.0,18026,18
large_43.txt,30,232,232,855945.0,38519,38
large_44.txt,30,232,232,5066090.0,38648,38
large_45.txt,30,232,232,1969330.0,38997,38
large_46.txt,30,232,232,14560600.0,39359,39
large_47.txt,30,232,232,10031900.0,45682,45
large_48.txt,30,232,232,91632200.0,43585,43
large_5.txt,10,16,16,45697.9,504,0
large_6.txt,10,16,16,654857.0,497,0
large_7.txt,10,20,20,6949.57,619,0
large_8.txt,10,20,20,40734.3,656,0
large_9.txt,10,20,20,12284.2,629,0
small_1.txt,7,8,8,1130.41,289,0
small_10.txt,7,9,9,22906.1,294,0
small_11.txt,7,9,9,13144.0,331,0
small_12.txt,7,9,9,93808.8,314,0
small_13.txt,8,10,10,2490.87,329,0
small_14.txt,8,10,10,14049.1,328,0
small_15.txt,8,10,10,4110.82,373,0
small_16.txt,8,10,10,24936.0,321,0
small_17.txt,8,10,10,17685.5,334,0
small_18.txt,8,10,10,137343.0,352,0
small_2.txt,7,8,8,11344.2,283,0
small_3.txt,7,8,8,883.931,348,0
small_4.txt,7,8,8,21096.6,280,0
small_5.txt,7,8,8,11390.6,276,0
small_6.txt,7,8,8,146806.0,273,0
