Name,Number of nodes,Number of edges,Number of deliver edges,Cost,Time (ms),Time (s)
H_5.txt,8,20,9,2007.76,0,0
H_6.txt,8,20,4,6963.49,0,0
H_7.txt,9,25,11,2931.53,2,0
H_8.txt,9,25,12,39479.0,1,0
H_9.txt,10,30,16,9066.39,3,0
large_1.txt,10,16,16,5224.29,3,0
large_10.txt,10,20,20,85784.0,6,0
large_11.txt,10,20,20,64834.0,7,0
large_12.txt,10,20,20,677613.0,6,0
large_13.txt,10,27,27,10501.5,14,0
large_14.txt,10,27,27,101887.0,15,0
large_15.txt,10,27,27,30171.7,13,0
large_16.txt,10,27,27,249656.0,13,0
large_17.txt,10,27,27,153085.0,16,0
large_18.txt,10,27,27,1372510.0,16,0
large_19.txt,20,53,53,42900.3,103,0
large_2.txt,10,16,16,29092.1,3,0
large_20.txt,20,53,53,289880.0,109,0
large_21.txt,20,53,53,111110.0,92,0
large_22.txt,20,53,53,971983.0,95,0
large_23.txt,20,53,53,651031.0,141,0
large_24.txt,20,53,53,5553170.0,98,0
large_25.txt,20,75,75,91049.2,256,0
large_26.txt,20,75,75,422323.0,255,0
large_27.txt,20,75,75,174669.0,326,0
large_28.txt,20,75,75,1696230.0,291,0
large_29.txt,20,75,75,973495.0,317,0
large_3.txt,10,16,16,6691.71,13,0
large_30.txt,20,75,75,10906200.0,293,0
large_31.txt,30,110,110,212196.0,860,0
large_32.txt,30,110,110,1327270.0,917,0
large_33.txt,30,110,110,382563.0,886,0
large_34.txt,30,110,110,3709520.0,855,0
large_35.txt,30,110,110,2077490.0,973,0
large_36.txt,30,110,110,21061500.0,1062,1
large_37.txt,30,162,162,522429.0,3161,3
large_38.txt,30,162,162,2790770.0,3145,3
large_39.txt,30,162,162,836338.0,3183,3
large_4.txt,10,16,16,52004.2,12,0
large_40.txt,30,162,162,6322620.0,2341,2
large_41.txt,30,162,162,6547940.0,2508,2
large_42.txt,30,162,162,48325400.0,2302,2
large_43.txt,30,232,232,855945.0,6506,6
large_44.txt,30,232,232,5066090.0,6513,6
large_45.txt,30,232,232,1969330.0,6462,6
large_46.txt,30,232,232,14560600.0,6660,6
large_47.txt,30,232,232,10031900.0,7145,7
large_48.txt,30,232,232,91632200.0,7420,7
large_5.txt,10,16,16,45697.9,12,0
large_6.txt,10,16,16,656391.0,12,0
large_7.txt,10,20,20,6949.57,7,0
large_8.txt,10,20,20,40734.3,17,0
large_9.txt,10,20,20,12284.2,17,0
small_1.txt,7,8,8,1130.41,9,0
small_10.txt,7,9,9,23535.9,9,0
small_11.txt,7,9,9,13144.0,13,0
small_12.txt,7,9,9,94532.3,9,0
small_13.txt,8,10,10,2490.87,9,0
small_14.txt,8,10,10,15774.2,10,0
small_15.txt,8,10,10,4110.82,9,0
small_16.txt,8,10,10,24936.0,14,0
small_17.txt,8,10,10,17685.5,9,0
small_18.txt,8,10,10,137343.0,9,0
small_2.txt,7,8,8,13004.3,9,0
small_3.txt,7,8,8,883.931,1,0
small_4.txt,7,8,8,21224.1,9,0
small_5.txt,7,8,8,11390.6,10,0
small_6.txt,7,8,8,146806.0,9,0
small_7.txt,7,9,9,2245.87,9,0
small_8.txt,7,9,9,9167.69,9,0
small_9.txt,7,9,9,2427.14,9,0
